"No.","Time","Source","Destination","Protocol","Length","Multiplex ID","NT Status","Info"
"50","0.211205","172.16.156.130","10.128.0.243","TCP","1514","","","50927  >  445 [ACK] Seq=29051 Ack=445 Win=63796 Len=1460 [TCP segment of a reassembled PDU]"
"51","0.211210","172.16.156.130","10.128.0.243","SMB","1514","65","STATUS_SUCCESS","Trans2 Secondary Request, FID: 0x0000"
"52","0.211217","172.16.156.130","10.128.0.243","TCP","1514","","","50927  >  445 [ACK] Seq=31971 Ack=445 Win=63796 Len=1460 [TCP segment of a reassembled PDU]"
"53","0.211223","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=20291 Win=64240 Len=0"
"54","0.211224","172.16.156.130","10.128.0.243","SMB","1514","65","STATUS_SUCCESS","Trans2 Secondary Request, FID: 0x0000"
"55","0.211230","172.16.156.130","10.128.0.243","TCP","1514","","","50927  >  445 [PSH, ACK] Seq=34891 Ack=445 Win=63796 Len=1460 [TCP segment of a reassembled PDU]"
"56","0.211281","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=21751 Win=64240 Len=0"
"57","0.211334","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=23211 Win=64240 Len=0"
"58","0.211378","172.16.156.130","10.128.0.243","TCP","1514","","","50927  >  445 [ACK] Seq=36351 Ack=445 Win=63796 Len=1460 [TCP segment of a reassembled PDU]"
"59","0.211388","172.16.156.130","10.128.0.243","SMB","1514","65","STATUS_SUCCESS","Trans2 Secondary Request, FID: 0x0000"
"60","0.211391","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=24671 Win=64240 Len=0"
"61","0.211395","172.16.156.130","10.128.0.243","TCP","1514","","","50927  >  445 [ACK] Seq=39271 Ack=445 Win=63796 Len=1460 [TCP segment of a reassembled PDU]"
"62","0.211402","172.16.156.130","10.128.0.243","TCP","1514","","","50927  >  445 [ACK] Seq=40731 Ack=445 Win=63796 Len=1460 [TCP segment of a reassembled PDU]"
"63","0.211410","172.16.156.130","10.128.0.243","SMB","1514","65","STATUS_SUCCESS","Trans2 Secondary Request, FID: 0x0000"
"64","0.211417","172.16.156.130","10.128.0.243","TCP","1514","","","50927  >  445 [ACK] Seq=43651 Ack=445 Win=63796 Len=1460 [TCP segment of a reassembled PDU]"
"65","0.211423","172.16.156.130","10.128.0.243","TCP","1514","","","50927  >  445 [ACK] Seq=45111 Ack=445 Win=63796 Len=1460 [TCP segment of a reassembled PDU]"
"66","0.211430","172.16.156.130","10.128.0.243","SMB","1514","65","STATUS_SUCCESS","Trans2 Secondary Request, FID: 0x0000"
"67","0.211444","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=26131 Win=64240 Len=0"
"68","0.211500","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=27591 Win=64240 Len=0"
"69","0.211554","10.128.0.243","172.16.156.130","TCP","54","","","445  >  50927 [ACK] Seq=445 Ack=29051 Win=64240 Len=0"
